CPU: Intel Core/i7, speed 2393.98 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  %        linenr info                 app name                 symbol name
202       0.0040  detect-parse.c:831          suricata                 SigParse
201       0.0040  (no location information)   kallsyms                 dequeue_task_fair
200       0.0040  (no location information)   kallsyms                 __local_bh_enable
200       0.0040  (no location information)   kallsyms                 __perf_event_task_sched_out
200       0.0040  (no location information)   kallsyms                 sys_write
200       0.0040  output-json-alert.c:446     suricata                 JsonAlertLogger
188       0.0038  detect-engine-mpm.c:1802    suricata                 RetrieveFPForSigV2.part.6
187       0.0037  (no location information)   kallsyms                 hrtimer_start_range_ns
187       0.0037  (no location information)   kallsyms                 mem_cgroup_try_charge
187       0.0037  flow.c:878                  suricata                 FlowGetDisruptionFlags
182       0.0036  (no location information)   kallsyms                 _raw_spin_lock_irqsave
181       0.0036  (no location information)   kallsyms                 kvm_clock_get_cycles
181       0.0036  tmqh-packetpool.c:245       suricata                 PacketPoolGetPacket
180       0.0036  byteswap.h:47               suricata                 DetectAddressCmpIPv4
178       0.0036  suricata.c:2207             suricata                 main
173       0.0035  decode.c:440                suricata                 DecodeUpdatePacketCounters
173       0.0035  detect-engine-payload.c:56  suricata                 DetectEngineInspectPacketPayload
172       0.0034  (no location information)   kallsyms                 enqueue_task_fair
172       0.0034  (no location information)   kallsyms                 mark_page_accessed
170       0.0034  stream-tcp-reassemble.c:2475 suricata                 StreamTcpPruneSession
168       0.0034  (no location information)   kallsyms                 jbd2_journal_stop
167       0.0033  (no location information)   kallsyms                 __alloc_pages_nodemask
164       0.0033  (no location information)   kallsyms                 ext4_da_write_end
163       0.0033  (no location information)   kallsyms                 irq_may_run
162       0.0032  detect-engine-port.c:1555   suricata                 DetectPortHashFunc
160       0.0032  (no location information)   kallsyms                 ext4_block_write_begin
160       0.0032  (no location information)   kallsyms                 skb_push
159       0.0032  util-print.c:261            suricata                 PrintInet
158       0.0032  (no location information)   kallsyms                 put_prev_entity
157       0.0031  conf.c:725                  suricata                 ConfNodeLookupChild
155       0.0031  (no location information)   kallsyms                 __mark_inode_dirty
155       0.0031  stream.c:260                suricata                 StreamMsgReturnListToPool
154       0.0031  (no location information)   kallsyms                 do_nanosleep
154       0.0031  (no location information)   kallsyms                 ret_from_intr
153       0.0031  stream-tcp-inline.c:47      suricata                 StreamTcpInlineMode
152       0.0030  detect-engine-siggroup.c:639 suricata                 SigGroupHeadCompareFunc
150       0.0030  (no location information)   kallsyms                 sys_futex
150       0.0030  detect-parse.c:271          suricata                 SigTableGet
149       0.0030  (no location information)   kallsyms                 __fget
145       0.0029  output-json.c:175           suricata                 CreateJSONHeader
145       0.0029  stream-tcp-reassemble.c:2886 suricata                 StreamTcpReassembleAppLayer
143       0.0029  (no location information)   kallsyms                 __wake_up_bit
142       0.0028  (no location information)   kallsyms                 __srcu_read_lock
142       0.0028  (no location information)   kallsyms                 __update_entity_load_avg_contrib
140       0.0028  (no location information)   kallsyms                 entry_SYSCALL_64_fastpath
140       0.0028  (no location information)   kallsyms                 generic_perform_write
139       0.0028  (no location information)   kallsyms                 __find_get_block
139       0.0028  (no location information)   kallsyms                 balance_dirty_pages_ratelimited
139       0.0028  (no location information)   kallsyms                 fsnotify
132       0.0026  flow-var.c:56               suricata                 FlowVarGet
130       0.0026  (no location information)   kallsyms                 account_entity_dequeue
130       0.0026  app-layer-detect-proto.c:1730 suricata                 AppLayerProtoDetectSupportedIpprotos
130       0.0026  detect.c:562                suricata                 SigMatchSignaturesRunPostMatch
128       0.0026  (no location information)   kallsyms                 radix_tree_lookup
127       0.0025  (no location information)   kallsyms                 irq_to_desc
127       0.0025  alert-fastlog.c:116         suricata                 AlertFastLogger
125       0.0025  (no location information)   kallsyms                 ext4_file_write_iter
124       0.0025  (no location information)   kallsyms                 __fget_light
124       0.0025  (no location information)   kallsyms                 retint_swapgs
124       0.0025  packet-queue.c:140          suricata                 PacketEnqueue
